"Year","Industries_luok","Municipality","Bankruptcies instigated, number of enterprises","Bankruptcies instigated, number of employees"
"2023","Hotels and restaurants","Kauhava",0,0
"2023","Hotels and restaurants","Kauniainen",1,1
"2023","Hotels and restaurants","Kaustinen",1,4
"2023","Hotels and restaurants","Keitele",0,0
"2023","Hotels and restaurants","Kemi",0,0
"2023","Hotels and restaurants","Kemijärvi",0,0
"2023","Hotels and restaurants","Keminmaa",0,0
"2023","Hotels and restaurants","Kimitoön",0,0
"2023","Hotels and restaurants","Kempele",0,0
"2023","Hotels and restaurants","Kerava",1,1
"2023","Hotels and restaurants","Keuruu",0,0
"2023","Hotels and restaurants","Kihniö",0,0
"2023","Hotels and restaurants","Kinnula",0,0
"2023","Hotels and restaurants","Kirkkonummi",4,57
"2023","Hotels and restaurants","Kitee",0,0
"2023","Hotels and restaurants","Kittilä",0,0
"2023","Hotels and restaurants","Kiuruvesi",0,0
"2023","Hotels and restaurants","Kivijärvi",0,0
"2023","Hotels and restaurants","Kokemäki",0,0
"2023","Hotels and restaurants","Kokkola",2,2
"2023","Hotels and restaurants","Kolari",1,1
"2023","Hotels and restaurants","Konnevesi",0,0
"2023","Hotels and restaurants","Kontiolahti",0,0
"2023","Hotels and restaurants","Korsnäs",0,0
"2023","Hotels and restaurants","Koski Tl",0,0
"2023","Hotels and restaurants","Kotka",5,13
"2023","Hotels and restaurants","Kouvola",2,13
"2023","Hotels and restaurants","Kristinestad",0,0
"2023","Hotels and restaurants","Kronoby",0,0
"2023","Hotels and restaurants","Kuhmo",0,0
"2023","Hotels and restaurants","Kuhmoinen",0,0
"2023","Hotels and restaurants","Kumlinge",0,0
"2023","Hotels and restaurants","Kuopio",9,41
"2023","Hotels and restaurants","Kuortane",0,0
"2023","Hotels and restaurants","Kurikka",1,2
"2023","Hotels and restaurants","Kustavi",0,0
"2023","Hotels and restaurants","Kuusamo",1,2
"2023","Hotels and restaurants","Kyyjärvi",0,0
"2023","Hotels and restaurants","Kärkölä",0,0
"2023","Hotels and restaurants","Kärsämäki",0,0
"2023","Hotels and restaurants","Kökar",0,0
"2023","Hotels and restaurants","Lahti",9,18
"2023","Hotels and restaurants","Laihia",0,0
"2023","Hotels and restaurants","Laitila",1,1
"2023","Hotels and restaurants","Lapinjärvi",0,0
"2023","Hotels and restaurants","Lapinlahti",0,0
"2023","Hotels and restaurants","Lappajärvi",0,0
"2023","Hotels and restaurants","Lappeenranta",2,6
"2023","Hotels and restaurants","Lapua",2,3
"2023","Hotels and restaurants","Laukaa",2,9
"2023","Hotels and restaurants","Lemi",0,0
"2023","Hotels and restaurants","Lemland",0,0
"2023","Hotels and restaurants","Lempäälä",1,1
"2023","Hotels and restaurants","Leppävirta",0,0
"2023","Hotels and restaurants","Lestijärvi",0,0
"2023","Hotels and restaurants","Lieksa",1,2
"2023","Hotels and restaurants","Lieto",1,2
"2023","Hotels and restaurants","Liminka",0,0
"2023","Hotels and restaurants","Liperi",0,0
"2023","Hotels and restaurants","Lohja",1,2
"2023","Hotels and restaurants","Loimaa",1,2
"2023","Hotels and restaurants","Loppi",2,3
"2023","Hotels and restaurants","Loviisa",2,5
"2023","Hotels and restaurants","Luhanka",0,0
"2023","Hotels and restaurants","Lumijoki",0,0
"2023","Hotels and restaurants","Lumparland",0,0
"2023","Hotels and restaurants","Larsmo",0,0
"2023","Hotels and restaurants","Luumäki",0,0
"2023","Hotels and restaurants","Malax",0,0
"2023","Hotels and restaurants","Mariehamn",1,2
"2023","Hotels and restaurants","Marttila",0,0
"2023","Hotels and restaurants","Masku",1,2
"2023","Hotels and restaurants","Merijärvi",0,0
"2023","Hotels and restaurants","Merikarvia",0,0
"2023","Hotels and restaurants","Miehikkälä",0,0
"2023","Hotels and restaurants","Mikkeli",0,0
"2023","Hotels and restaurants","Muhos",0,0
"2023","Hotels and restaurants","Multia",0,0
"2023","Hotels and restaurants","Muonio",0,0
"2023","Hotels and restaurants","Korsholm",0,0
"2023","Hotels and restaurants","Muurame",0,0
"2023","Hotels and restaurants","Mynämäki",0,0
"2023","Hotels and restaurants","Myrskylä",0,0
"2023","Hotels and restaurants","Mäntsälä",0,0
"2023","Hotels and restaurants","Mänttä-Vilppula",0,0
"2023","Hotels and restaurants","Mäntyharju",2,7
"2023","Hotels and restaurants","Naantali",1,1
"2023","Hotels and restaurants","Nakkila",0,0
"2023","Hotels and restaurants","Nivala",1,1
"2023","Hotels and restaurants","Nokia",2,4
"2023","Hotels and restaurants","Nousiainen",0,0
"2023","Hotels and restaurants","Nurmes",0,0
"2023","Hotels and restaurants","Nurmijärvi",2,12
"2023","Hotels and restaurants","Närpes",0,0
"2023","Hotels and restaurants","Orimattila",0,0
"2023","Hotels and restaurants","Oripää",0,0
"2023","Hotels and restaurants","Orivesi",0,0
"2023","Hotels and restaurants","Oulainen",0,0
"2023","Hotels and restaurants","Oulu",10,20
"2023","Hotels and restaurants","Outokumpu",0,0
"2023","Hotels and restaurants","Padasjoki",1,3
"2023","Hotels and restaurants","Paimio",0,0
"2023","Hotels and restaurants","Paltamo",0,0
"2023","Hotels and restaurants","Pargas",1,5
"2023","Hotels and restaurants","Parikkala",0,0
"2023","Hotels and restaurants","Parkano",0,0
"2023","Hotels and restaurants","Pedersöre",1,1
"2023","Hotels and restaurants","Pelkosenniemi",0,0
"2023","Hotels and restaurants","Pello",0,0
"2023","Hotels and restaurants","Perho",0,0
"2023","Hotels and restaurants","Petäjävesi",0,0
"2023","Hotels and restaurants","Pieksämäki",0,0
"2023","Hotels and restaurants","Pielavesi",2,2
"2023","Hotels and restaurants","Jakobstad",1,1
"2023","Hotels and restaurants","Pihtipudas",0,0
"2023","Hotels and restaurants","Pirkkala",1,3
"2023","Hotels and restaurants","Polvijärvi",0,0
"2023","Hotels and restaurants","Pomarkku",0,0
"2023","Hotels and restaurants","Pori",6,10
"2023","Hotels and restaurants","Pornainen",0,0
"2023","Hotels and restaurants","Porvoo",2,3
"2023","Hotels and restaurants","Posio",0,0
"2023","Hotels and restaurants","Pudasjärvi",0,0
"2023","Hotels and restaurants","Pukkila",0,0
"2023","Hotels and restaurants","Punkalaidun",0,0
"2023","Hotels and restaurants","Puolanka",0,0
"2023","Hotels and restaurants","Puumala",0,0
"2023","Hotels and restaurants","Pyhtää",0,0
"2023","Hotels and restaurants","Pyhäjoki",1,1
"2023","Hotels and restaurants","Pyhäjärvi",0,0
"2023","Hotels and restaurants","Pyhäntä",0,0
"2023","Hotels and restaurants","Pyhäranta",0,0
"2023","Hotels and restaurants","Pälkäne",1,4
"2023","Hotels and restaurants","Pöytyä",1,1
"2023","Hotels and restaurants","Raahe",0,0
"2023","Hotels and restaurants","Raseborg",2,12
"2023","Hotels and restaurants","Raisio",2,2
"2023","Hotels and restaurants","Rantasalmi",0,0
"2023","Hotels and restaurants","Ranua",2,3
"2023","Hotels and restaurants","Rauma",5,12
"2023","Hotels and restaurants","Rautalampi",0,0
"2023","Hotels and restaurants","Rautavaara",0,0
"2023","Hotels and restaurants","Rautjärvi",0,0
"2023","Hotels and restaurants","Reisjärvi",0,0
"2023","Hotels and restaurants","Riihimäki",0,0
"2023","Hotels and restaurants","Ristijärvi",0,0
"2023","Hotels and restaurants","Rovaniemi",3,8
"2023","Hotels and restaurants","Ruokolahti",1,1
"2023","Hotels and restaurants","Ruovesi",0,0
"2023","Hotels and restaurants","Rusko",0,0
"2023","Hotels and restaurants","Rääkkylä",0,0
"2023","Hotels and restaurants","Saarijärvi",0,0
"2023","Hotels and restaurants","Salla",1,10
"2023","Hotels and restaurants","Salo",2,2
"2023","Hotels and restaurants","Saltvik",0,0
"2023","Hotels and restaurants","Sastamala",4,25
"2023","Hotels and restaurants","Sauvo",0,0
"2023","Hotels and restaurants","Savitaipale",0,0
"2023","Hotels and restaurants","Savonlinna",2,28
"2023","Hotels and restaurants","Savukoski",0,0
"2023","Hotels and restaurants","Seinäjoki",2,7
"2023","Hotels and restaurants","Sievi",0,0
"2023","Hotels and restaurants","Siikainen",0,0
"2023","Hotels and restaurants","Siikajoki",0,0
"2023","Hotels and restaurants","Siikalatva",0,0
"2023","Hotels and restaurants","Siilinjärvi",0,0
"2023","Hotels and restaurants","Simo",0,0
"2023","Hotels and restaurants","Sipoo",1,1
"2023","Hotels and restaurants","Siuntio",0,0
"2023","Hotels and restaurants","Sodankylä",1,1
"2023","Hotels and restaurants","Soini",0,0
"2023","Hotels and restaurants","Somero",0,0
"2023","Hotels and restaurants","Sonkajärvi",0,0
"2023","Hotels and restaurants","Sotkamo",1,1
"2023","Hotels and restaurants","Sottunga",0,0
"2023","Hotels and restaurants","Sulkava",0,0
"2023","Hotels and restaurants","Sund",0,0
"2023","Hotels and restaurants","Suomussalmi",0,0
"2023","Hotels and restaurants","Suonenjoki",0,0
"2023","Hotels and restaurants","Sysmä",1,7
"2023","Hotels and restaurants","Säkylä",0,0
"2023","Hotels and restaurants","Taipalsaari",0,0
"2023","Hotels and restaurants","Taivalkoski",0,0
"2023","Hotels and restaurants","Taivassalo",0,0
"2023","Hotels and restaurants","Tammela",0,0
"2023","Hotels and restaurants","Tampere",14,30
"2023","Hotels and restaurants","Tervo",0,0
"2023","Hotels and restaurants","Tervola",0,0
"2023","Hotels and restaurants","Teuva",0,0
"2023","Hotels and restaurants","Tohmajärvi",0,0
"2023","Hotels and restaurants","Toholampi",0,0
"2023","Hotels and restaurants","Toivakka",0,0
"2023","Hotels and restaurants","Tornio",0,0
"2023","Hotels and restaurants","Turku",17,31
"2023","Hotels and restaurants","Tuusniemi",0,0
"2023","Hotels and restaurants","Tuusula",0,0
"2023","Hotels and restaurants","Tyrnävä",0,0
"2023","Hotels and restaurants","Ulvila",0,0
"2023","Hotels and restaurants","Urjala",0,0
"2023","Hotels and restaurants","Utajärvi",0,0
"2023","Hotels and restaurants","Utsjoki",0,0
"2023","Hotels and restaurants","Uurainen",1,3
"2023","Hotels and restaurants","Nykarleby",0,0
"2023","Hotels and restaurants","Uusikaupunki",1,2
"2023","Hotels and restaurants","Vaala",0,0
"2023","Hotels and restaurants","Vaasa",5,15
"2023","Hotels and restaurants","Valkeakoski",2,14
"2023","Hotels and restaurants","Vantaa",11,32
"2023","Hotels and restaurants","Varkaus",0,0
"2023","Hotels and restaurants","Vehmaa",0,0
"2023","Hotels and restaurants","Vesanto",1,1
"2023","Hotels and restaurants","Vesilahti",0,0
"2023","Hotels and restaurants","Veteli",0,0
"2023","Hotels and restaurants","Vieremä",0,0
"2023","Hotels and restaurants","Vihti",2,2
"2023","Hotels and restaurants","Viitasaari",4,8
"2023","Hotels and restaurants","Vimpeli",0,0
"2023","Hotels and restaurants","Virolahti",0,0
"2023","Hotels and restaurants","Virrat",0,0
"2023","Hotels and restaurants","Vårdö",0,0
"2023","Hotels and restaurants","Vörå",0,0
"2023","Hotels and restaurants","Ylitornio",0,0
"2023","Hotels and restaurants","Ylivieska",0,0
"2023","Hotels and restaurants","Ylöjärvi",2,4
"2023","Hotels and restaurants","Ypäjä",0,0
"2023","Hotels and restaurants","Ähtäri",0,0
"2023","Hotels and restaurants","Äänekoski",1,1
"2023","Other service activities","WHOLE COUNTRY",1069,5051
"2023","Other service activities","Akaa",3,10
"2023","Other service activities","Alajärvi",1,1
"2023","Other service activities","Alavieska",0,0
"2023","Other service activities","Alavus",1,1
"2023","Other service activities","Asikkala",1,1
"2023","Other service activities","Askola",1,2
"2023","Other service activities","Aura",1,1
"2023","Other service activities","Brändö",0,0
"2023","Other service activities","Eckerö",1,1
"2023","Other service activities","Enonkoski",0,0
"2023","Other service activities","Enontekiö",0,0
"2023","Other service activities","Espoo",70,408
"2023","Other service activities","Eura",2,4
"2023","Other service activities","Eurajoki",1,1
"2023","Other service activities","Evijärvi",0,0
"2023","Other service activities","Finström",0,0
"2023","Other service activities","Forssa",3,25
"2023","Other service activities","Föglö",0,0
"2023","Other service activities","Geta",0,0
"2023","Other service activities","Haapajärvi",1,2
"2023","Other service activities","Haapavesi",0,0
"2023","Other service activities","Hailuoto",0,0
"2023","Other service activities","Halsua",0,0
"2023","Other service activities","Hamina",5,6
"2023","Other service activities","Hammarland",1,1
"2023","Other service activities","Hankasalmi",0,0
"2023","Other service activities","Hanko",2,2
"2023","Other service activities","Harjavalta",1,9
"2023","Other service activities","Hartola",0,0
"2023","Other service activities","Hattula",2,4
"2023","Other service activities","Hausjärvi",2,5
"2023","Other service activities","Heinola",3,7
"2023","Other service activities","Heinävesi",0,0
"2023","Other service activities","Helsinki",301,1785
"2023","Other service activities","Hirvensalmi",0,0
"2023","Other service activities","Hollola",3,8
"2023","Other service activities","Huittinen",2,6
"2023","Other service activities","Humppila",1,1
"2023","Other service activities","Hyrynsalmi",0,0
"2023","Other service activities","Hyvinkää",5,17
"2023","Other service activities","Hämeenkyrö",0,0
"2023","Other service activities","Hämeenlinna",13,28
"2023","Other service activities","Ii",2,3
"2023","Other service activities","Iisalmi",3,19
"2023","Other service activities","Iitti",1,7
"2023","Other service activities","Ikaalinen",1,2
"2023","Other service activities","Ilmajoki",1,1
"2023","Other service activities","Ilomantsi",0,0
"2023","Other service activities","Imatra",5,7
"2023","Other service activities","Inari",0,0
"2023","Other service activities","Ingå",1,1
"2023","Other service activities","Isojoki",1,1
"2023","Other service activities","Isokyrö",0,0
"2023","Other service activities","Janakkala",1,1
"2023","Other service activities","Joensuu",9,18
"2023","Other service activities","Jokioinen",0,0
"2023","Other service activities","Jomala",3,13
"2023","Other service activities","Joroinen",0,0
"2023","Other service activities","Joutsa",0,0
"2023","Other service activities","Juuka",0,0
"2023","Other service activities","Juupajoki",1,12
"2023","Other service activities","Juva",0,0
"2023","Other service activities","Jyväskylä",20,158
"2023","Other service activities","Jämijärvi",0,0
"2023","Other service activities","Jämsä",0,0
"2023","Other service activities","Järvenpää",9,39
"2023","Other service activities","Kaarina",11,21
"2023","Other service activities","Kaavi",0,0
"2023","Other service activities","Kajaani",10,30
"2023","Other service activities","Kalajoki",1,2
"2023","Other service activities","Kangasala",5,20
"2023","Other service activities","Kangasniemi",0,0
"2023","Other service activities","Kankaanpää",1,7
"2023","Other service activities","Kannonkoski",0,0
"2023","Other service activities","Kannus",3,7
"2023","Other service activities","Karijoki",0,0
"2023","Other service activities","Karkkila",0,0
"2023","Other service activities","Karstula",3,3
"2023","Other service activities","Karvia",0,0
"2023","Other service activities","Kaskinen",1,1
"2023","Other service activities","Kauhajoki",1,1
"2023","Other service activities","Kauhava",0,0
"2023","Other service activities","Kauniainen",0,0
"2023","Other service activities","Kaustinen",1,1
"2023","Other service activities","Keitele",0,0
"2023","Other service activities","Kemi",4,8
"2023","Other service activities","Kemijärvi",1,1
"2023","Other service activities","Keminmaa",1,1
"2023","Other service activities","Kimitoön",0,0
"2023","Other service activities","Kempele",0,0
"2023","Other service activities","Kerava",4,9
"2023","Other service activities","Keuruu",1,1
"2023","Other service activities","Kihniö",0,0
"2023","Other service activities","Kinnula",0,0
"2023","Other service activities","Kirkkonummi",6,6
"2023","Other service activities","Kitee",3,5
"2023","Other service activities","Kittilä",4,4
"2023","Other service activities","Kiuruvesi",1,1
"2023","Other service activities","Kivijärvi",1,1
"2023","Other service activities","Kokemäki",0,0
"2023","Other service activities","Kokkola",6,9
"2023","Other service activities","Kolari",0,0
"2023","Other service activities","Konnevesi",0,0
"2023","Other service activities","Kontiolahti",3,13
"2023","Other service activities","Korsnäs",0,0
"2023","Other service activities","Koski Tl",0,0
"2023","Other service activities","Kotka",3,4
"2023","Other service activities","Kouvola",15,34
"2023","Other service activities","Kristinestad",1,4
"2023","Other service activities","Kronoby",0,0
"2023","Other service activities","Kuhmo",2,2
"2023","Other service activities","Kuhmoinen",0,0
"2023","Other service activities","Kumlinge",0,0
"2023","Other service activities","Kuopio",32,123
"2023","Other service activities","Kuortane",0,0
"2023","Other service activities","Kurikka",3,6
"2023","Other service activities","Kustavi",0,0
"2023","Other service activities","Kuusamo",2,2
"2023","Other service activities","Kyyjärvi",0,0
"2023","Other service activities","Kärkölä",2,3
"2023","Other service activities","Kärsämäki",0,0
"2023","Other service activities","Kökar",0,0
"2023","Other service activities","Lahti",14,34
"2023","Other service activities","Laihia",1,2
"2023","Other service activities","Laitila",1,1
"2023","Other service activities","Lapinjärvi",0,0
"2023","Other service activities","Lapinlahti",1,1
"2023","Other service activities","Lappajärvi",0,0
"2023","Other service activities","Lappeenranta",5,9
"2023","Other service activities","Lapua",3,8
"2023","Other service activities","Laukaa",4,11
"2023","Other service activities","Lemi",1,20
"2023","Other service activities","Lemland",0,0
"2023","Other service activities","Lempäälä",8,43
"2023","Other service activities","Leppävirta",4,5
"2023","Other service activities","Lestijärvi",0,0
"2023","Other service activities","Lieksa",2,8
"2023","Other service activities","Lieto",2,2
"2023","Other service activities","Liminka",0,0
"2023","Other service activities","Liperi",2,15
"2023","Other service activities","Lohja",8,15
"2023","Other service activities","Loimaa",3,3
"2023","Other service activities","Loppi",0,0
"2023","Other service activities","Loviisa",4,12
"2023","Other service activities","Luhanka",2,16
"2023","Other service activities","Lumijoki",0,0
"2023","Other service activities","Lumparland",0,0
"2023","Other service activities","Larsmo",0,0
"2023","Other service activities","Luumäki",0,0
"2023","Other service activities","Malax",1,1
"2023","Other service activities","Mariehamn",1,1
"2023","Other service activities","Marttila",0,0
"2023","Other service activities","Masku",0,0
"2023","Other service activities","Merijärvi",0,0
"2023","Other service activities","Merikarvia",1,4
"2023","Other service activities","Miehikkälä",1,16
"2023","Other service activities","Mikkeli",7,17
"2023","Other service activities","Muhos",1,1
"2023","Other service activities","Multia",0,0
"2023","Other service activities","Muonio",0,0
"2023","Other service activities","Korsholm",1,1
"2023","Other service activities","Muurame",1,1
"2023","Other service activities","Mynämäki",2,2
"2023","Other service activities","Myrskylä",0,0
"2023","Other service activities","Mäntsälä",2,9
"2023","Other service activities","Mänttä-Vilppula",2,2
"2023","Other service activities","Mäntyharju",0,0
"2023","Other service activities","Naantali",7,194
"2023","Other service activities","Nakkila",0,0
"2023","Other service activities","Nivala",2,18
"2023","Other service activities","Nokia",5,5
"2023","Other service activities","Nousiainen",0,0
"2023","Other service activities","Nurmes",4,5
"2023","Other service activities","Nurmijärvi",7,11
"2023","Other service activities","Närpes",0,0
"2023","Other service activities","Orimattila",3,3
"2023","Other service activities","Oripää",0,0
"2023","Other service activities","Orivesi",1,5
"2023","Other service activities","Oulainen",2,2
"2023","Other service activities","Oulu",33,103
"2023","Other service activities","Outokumpu",0,0
"2023","Other service activities","Padasjoki",0,0
"2023","Other service activities","Paimio",0,0
"2023","Other service activities","Paltamo",0,0
"2023","Other service activities","Pargas",2,3
"2023","Other service activities","Parikkala",0,0
"2023","Other service activities","Parkano",2,2
"2023","Other service activities","Pedersöre",1,1
"2023","Other service activities","Pelkosenniemi",0,0
"2023","Other service activities","Pello",0,0
"2023","Other service activities","Perho",0,0
"2023","Other service activities","Petäjävesi",0,0
"2023","Other service activities","Pieksämäki",2,19
"2023","Other service activities","Pielavesi",0,0
"2023","Other service activities","Jakobstad",5,18
"2023","Other service activities","Pihtipudas",1,1
"2023","Other service activities","Pirkkala",4,9
"2023","Other service activities","Polvijärvi",0,0
"2023","Other service activities","Pomarkku",0,0
"2023","Other service activities","Pori",12,25
"2023","Other service activities","Pornainen",1,1
"2023","Other service activities","Porvoo",4,22
"2023","Other service activities","Posio",0,0
"2023","Other service activities","Pudasjärvi",2,2
"2023","Other service activities","Pukkila",0,0
"2023","Other service activities","Punkalaidun",0,0
"2023","Other service activities","Puolanka",0,0
"2023","Other service activities","Puumala",0,0
"2023","Other service activities","Pyhtää",0,0
"2023","Other service activities","Pyhäjoki",0,0
"2023","Other service activities","Pyhäjärvi",0,0
"2023","Other service activities","Pyhäntä",0,0
"2023","Other service activities","Pyhäranta",0,0
"2023","Other service activities","Pälkäne",0,0
"2023","Other service activities","Pöytyä",1,1
"2023","Other service activities","Raahe",1,7
"2023","Other service activities","Raseborg",3,21
"2023","Other service activities","Raisio",3,5
"2023","Other service activities","Rantasalmi",0,0
"2023","Other service activities","Ranua",0,0
"2023","Other service activities","Rauma",8,16
"2023","Other service activities","Rautalampi",0,0
"2023","Other service activities","Rautavaara",0,0
"2023","Other service activities","Rautjärvi",0,0
"2023","Other service activities","Reisjärvi",0,0
"2023","Other service activities","Riihimäki",2,6
"2023","Other service activities","Ristijärvi",1,1
"2023","Other service activities","Rovaniemi",9,47
"2023","Other service activities","Ruokolahti",2,2
"2023","Other service activities","Ruovesi",0,0
"2023","Other service activities","Rusko",1,9
"2023","Other service activities","Rääkkylä",0,0
"2023","Other service activities","Saarijärvi",2,2
"2023","Other service activities","Salla",1,1
"2023","Other service activities","Salo",4,10
"2023","Other service activities","Saltvik",0,0
"2023","Other service activities","Sastamala",1,1
"2023","Other service activities","Sauvo",1,1
"2023","Other service activities","Savitaipale",1,37
"2023","Other service activities","Savonlinna",5,10
"2023","Other service activities","Savukoski",1,1
"2023","Other service activities","Seinäjoki",8,30
"2023","Other service activities","Sievi",0,0
"2023","Other service activities","Siikainen",0,0
"2023","Other service activities","Siikajoki",0,0
"2023","Other service activities","Siikalatva",0,0
"2023","Other service activities","Siilinjärvi",2,2
"2023","Other service activities","Simo",0,0
"2023","Other service activities","Sipoo",2,7
"2023","Other service activities","Siuntio",0,0
"2023","Other service activities","Sodankylä",0,0
"2023","Other service activities","Soini",1,1
"2023","Other service activities","Somero",0,0
"2023","Other service activities","Sonkajärvi",0,0
"2023","Other service activities","Sotkamo",1,5
"2023","Other service activities","Sottunga",0,0
"2023","Other service activities","Sulkava",0,0
"2023","Other service activities","Sund",0,0
"2023","Other service activities","Suomussalmi",0,0
"2023","Other service activities","Suonenjoki",1,35
"2023","Other service activities","Sysmä",0,0
"2023","Other service activities","Säkylä",0,0
"2023","Other service activities","Taipalsaari",1,1
"2023","Other service activities","Taivalkoski",0,0
"2023","Other service activities","Taivassalo",0,0
"2023","Other service activities","Tammela",0,0
"2023","Other service activities","Tampere",43,229
"2023","Other service activities","Tervo",0,0
"2023","Other service activities","Tervola",0,0
"2023","Other service activities","Teuva",1,3
"2023","Other service activities","Tohmajärvi",0,0
"2023","Other service activities","Toholampi",0,0
"2023","Other service activities","Toivakka",0,0
"2023","Other service activities","Tornio",0,0
"2023","Other service activities","Turku",44,180
"2023","Other service activities","Tuusniemi",0,0
"2023","Other service activities","Tuusula",9,16
"2023","Other service activities","Tyrnävä",0,0
"2023","Other service activities","Ulvila",1,1
"2023","Other service activities","Urjala",2,10
"2023","Other service activities","Utajärvi",0,0
"2023","Other service activities","Utsjoki",0,0
"2023","Other service activities","Uurainen",0,0
"2023","Other service activities","Nykarleby",0,0
"2023","Other service activities","Uusikaupunki",5,24
"2023","Other service activities","Vaala",1,1
"2023","Other service activities","Vaasa",11,62
"2023","Other service activities","Valkeakoski",3,10
"2023","Other service activities","Vantaa",50,430
"2023","Other service activities","Varkaus",4,25
"2023","Other service activities","Vehmaa",0,0
"2023","Other service activities","Vesanto",0,0
"2023","Other service activities","Vesilahti",0,0
"2023","Other service activities","Veteli",1,1
"2023","Other service activities","Vieremä",0,0
"2023","Other service activities","Vihti",9,76
"2023","Other service activities","Viitasaari",1,2
"2023","Other service activities","Vimpeli",0,0
"2023","Other service activities","Virolahti",3,3
"2023","Other service activities","Virrat",2,4
"2023","Other service activities","Vårdö",0,0
"2023","Other service activities","Vörå",0,0
"2023","Other service activities","Ylitornio",1,1
"2023","Other service activities","Ylivieska",3,5
"2023","Other service activities","Ylöjärvi",8,50
"2023","Other service activities","Ypäjä",0,0
"2023","Other service activities","Ähtäri",1,1
"2023","Other service activities","Äänekoski",1,1
"2023","Industry unknown","WHOLE COUNTRY",16,16
"2023","Industry unknown","Akaa",0,0
"2023","Industry unknown","Alajärvi",1,1
"2023","Industry unknown","Alavieska",0,0
"2023","Industry unknown","Alavus",0,0
"2023","Industry unknown","Asikkala",0,0
"2023","Industry unknown","Askola",0,0
"2023","Industry unknown","Aura",0,0
"2023","Industry unknown","Brändö",0,0
"2023","Industry unknown","Eckerö",0,0
"2023","Industry unknown","Enonkoski",0,0
"2023","Industry unknown","Enontekiö",0,0
"2023","Industry unknown","Espoo",0,0
"2023","Industry unknown","Eura",0,0
"2023","Industry unknown","Eurajoki",0,0
"2023","Industry unknown","Evijärvi",0,0
"2023","Industry unknown","Finström",0,0
"2023","Industry unknown","Forssa",0,0
"2023","Industry unknown","Föglö",0,0
"2023","Industry unknown","Geta",0,0
"2023","Industry unknown","Haapajärvi",0,0
"2023","Industry unknown","Haapavesi",0,0
"2023","Industry unknown","Hailuoto",0,0
"2023","Industry unknown","Halsua",0,0
"2023","Industry unknown","Hamina",0,0
"2023","Industry unknown","Hammarland",0,0
"2023","Industry unknown","Hankasalmi",1,1
"2023","Industry unknown","Hanko",0,0
"2023","Industry unknown","Harjavalta",0,0
"2023","Industry unknown","Hartola",0,0
"2023","Industry unknown","Hattula",0,0
"2023","Industry unknown","Hausjärvi",0,0
"2023","Industry unknown","Heinola",0,0
"2023","Industry unknown","Heinävesi",0,0
"2023","Industry unknown","Helsinki",0,0
"2023","Industry unknown","Hirvensalmi",0,0
"2023","Industry unknown","Hollola",0,0
"2023","Industry unknown","Huittinen",0,0
"2023","Industry unknown","Humppila",0,0
"2023","Industry unknown","Hyrynsalmi",0,0
"2023","Industry unknown","Hyvinkää",0,0
"2023","Industry unknown","Hämeenkyrö",0,0
"2023","Industry unknown","Hämeenlinna",0,0
"2023","Industry unknown","Ii",0,0
"2023","Industry unknown","Iisalmi",0,0
"2023","Industry unknown","Iitti",0,0
"2023","Industry unknown","Ikaalinen",0,0
"2023","Industry unknown","Ilmajoki",0,0
"2023","Industry unknown","Ilomantsi",0,0
"2023","Industry unknown","Imatra",0,0
"2023","Industry unknown","Inari",0,0
"2023","Industry unknown","Ingå",0,0
"2023","Industry unknown","Isojoki",0,0
"2023","Industry unknown","Isokyrö",0,0
"2023","Industry unknown","Janakkala",0,0
"2023","Industry unknown","Joensuu",1,1
"2023","Industry unknown","Jokioinen",0,0
"2023","Industry unknown","Jomala",0,0
"2023","Industry unknown","Joroinen",0,0
"2023","Industry unknown","Joutsa",0,0
"2023","Industry unknown","Juuka",1,1
"2023","Industry unknown","Juupajoki",0,0
"2023","Industry unknown","Juva",0,0
"2023","Industry unknown","Jyväskylä",0,0
"2023","Industry unknown","Jämijärvi",0,0
"2023","Industry unknown","Jämsä",0,0
"2023","Industry unknown","Järvenpää",0,0
"2023","Industry unknown","Kaarina",0,0
"2023","Industry unknown","Kaavi",0,0
"2023","Industry unknown","Kajaani",0,0
"2023","Industry unknown","Kalajoki",0,0
"2023","Industry unknown","Kangasala",0,0
"2023","Industry unknown","Kangasniemi",1,1
"2023","Industry unknown","Kankaanpää",0,0
"2023","Industry unknown","Kannonkoski",0,0
"2023","Industry unknown","Kannus",0,0
"2023","Industry unknown","Karijoki",0,0
"2023","Industry unknown","Karkkila",0,0
"2023","Industry unknown","Karstula",0,0
"2023","Industry unknown","Karvia",0,0
"2023","Industry unknown","Kaskinen",0,0
"2023","Industry unknown","Kauhajoki",0,0
"2023","Industry unknown","Kauhava",0,0
"2023","Industry unknown","Kauniainen",0,0
"2023","Industry unknown","Kaustinen",0,0
"2023","Industry unknown","Keitele",0,0
"2023","Industry unknown","Kemi",0,0
"2023","Industry unknown","Kemijärvi",1,1
"2023","Industry unknown","Keminmaa",0,0
"2023","Industry unknown","Kimitoön",0,0
"2023","Industry unknown","Kempele",0,0
"2023","Industry unknown","Kerava",0,0
"2023","Industry unknown","Keuruu",1,1
"2023","Industry unknown","Kihniö",0,0
"2023","Industry unknown","Kinnula",0,0
"2023","Industry unknown","Kirkkonummi",0,0
"2023","Industry unknown","Kitee",0,0
"2023","Industry unknown","Kittilä",0,0
